molecule_chembl_id,canonical_smiles,standard_value
CHEMBL5269730,COc1cc(OC)c2c(=O)c3c(O)c(OC)ccc3oc2c1O,59.0
CHEMBL2442258,CN1[C@H](CO)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,60.0
CHEMBL5286029,O=C(CO)CCC(=O)c1nc(C(=O)O)cc2c1[nH]c1ccccc12,63.3
CHEMBL5287044,COc1c(O)cc2oc3ccc(O)c(OC)c3c(=O)c2c1O,63.4
CHEMBL2237045,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4CC(OC(C)=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,67.43
CHEMBL465360,O=c1cc(-c2ccc(O)cc2)oc2cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12,68.71
CHEMBL4448264,O=c1oc2ccccc2cc1-c1nn(C(Nc2ccc(Oc3ccc(NC(c4cccc(Br)c4)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)cc2)c2cccc(Br)c2)c(=S)o1,70.0
CHEMBL4533762,CN(C)c1ccc(C(Nc2ccc(NC(c3ccc(N(C)C)cc3)n3nc(-c4cc(=O)oc5ccccc45)oc3=S)cc2)n2nc(-c3cc4ccccc4oc3=O)oc2=S)cc1,70.0
CHEMBL4438224,O=c1cc(-c2nn(C(Nc3ccc(NC(c4ccc(Cl)cc4Cl)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)c3ccc(Cl)cc3Cl)c(=S)o2)c2ccccc2o1,70.0
CHEMBL4513326,COc1cccc(C(Nc2ccc(NC(c3cccc(OC)c3)n3nc(-c4cc(=O)oc5ccccc45)oc3=S)cc2)n2nc(-c3cc4ccccc4oc3=O)oc2=S)c1,70.0
CHEMBL4549180,CN(C)c1ccc(C(Nc2ccc(Oc3ccc(NC(c4ccc(N(C)C)cc4)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)cc2)n2nc(-c3cc4ccccc4oc3=O)oc2=S)cc1,70.0
CHEMBL4459113,O=c1cc(-c2nn(C(Nc3ccc(NC(c4cccc(Br)c4)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)c3cccc(Br)c3)c(=S)o2)c2ccccc2o1,70.0
CHEMBL4464119,O=c1oc2ccccc2cc1-c1nn(C(Nc2ccc(Oc3ccc(NC(c4ccc(Cl)cc4)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)cc2)c2ccc(Cl)cc2)c(=S)o1,70.0
CHEMBL4449167,O=c1cc(-c2nn(C(Nc3ccc(NC(c4ccc(Cl)cc4)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)c3ccc(Cl)cc3)c(=S)o2)c2ccccc2o1,70.0
CHEMBL4461882,COc1cccc(C(Nc2ccc(-c3ccc(NC(c4cccc(OC)c4)n4nc(-c5cc(=O)oc6ccccc56)oc4=S)cc3)cc2)n2nc(-c3cc4ccccc4oc3=O)oc2=S)c1,70.0
CHEMBL4552230,O=c1cc(-c2nn(C(Nc3ccc(-c4ccc(NC(c5ccc(Br)cc5)n5nc(-c6cc7ccccc7oc6=O)oc5=S)cc4)cc3)c3ccc(Br)cc3)c(=S)o2)c2ccccc2o1,70.0
CHEMBL4461780,O=c1cc(-c2nn(C(Nc3ccc(-c4ccc(NC(c5cccc(Cl)c5)n5nc(-c6cc7ccccc7oc6=O)oc5=S)cc4)cc3)c3cccc(Cl)c3)c(=S)o2)c2ccccc2o1,70.0
CHEMBL4448529,Cc1ccc(C(Nc2ccc(-c3ccc(NC(c4ccc(C)cc4)n4nc(-c5cc(=O)oc6ccccc56)oc4=S)cc3)cc2)n2nc(-c3cc4ccccc4oc3=O)oc2=S)cc1,70.0
CHEMBL4551617,O=c1cc(-c2nn(C(Nc3ccc(NC(c4ccc([N+](=O)[O-])cc4)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)c3ccc([N+](=O)[O-])cc3)c(=S)o2)c2ccccc2o1,70.0
CHEMBL4467305,CN(C)c1ccc(C(Nc2ccc(-c3ccc(NC(c4ccc(N(C)C)cc4)n4nc(-c5cc(=O)oc6ccccc56)oc4=S)cc3)cc2)n2nc(-c3cc4ccccc4oc3=O)oc2=S)cc1,70.0
CHEMBL4547928,Cc1ccc(C(Nc2ccc(Oc3ccc(NC(c4ccc(C)cc4)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)cc2)n2nc(-c3cc4ccccc4oc3=O)oc2=S)cc1,70.0
CHEMBL4549137,O=c1oc2ccccc2cc1-c1nn(C(Nc2ccc(Oc3ccc(NC(c4ccc(Br)cc4)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)cc2)c2ccc(Br)cc2)c(=S)o1,70.0
CHEMBL4535608,O=c1cc(-c2nn(C(Nc3ccc(NC(c4cccc(Cl)c4)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)c3cccc(Cl)c3)c(=S)o2)c2ccccc2o1,70.0
CHEMBL4468520,O=c1oc2ccccc2cc1-c1nn(C(Nc2ccc(Oc3ccc(NC(c4ccc([N+](=O)[O-])cc4)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)cc2)c2ccc([N+](=O)[O-])cc2)c(=S)o1,70.0
CHEMBL4468873,Cc1ccc(C(Nc2ccc(NC(c3ccc(C)cc3)n3nc(-c4cc(=O)oc5ccccc45)oc3=S)cc2)n2nc(-c3cc4ccccc4oc3=O)oc2=S)cc1,70.0
CHEMBL4448033,O=c1cc(-c2nn(C(Nc3ccc(-c4ccc(NC(c5ccc(Cl)cc5Cl)n5nc(-c6cc7ccccc7oc6=O)oc5=S)cc4)cc3)c3ccc(Cl)cc3Cl)c(=S)o2)c2ccccc2o1,70.0
CHEMBL4466971,O=c1cc(-c2nn(C(Nc3ccc(-c4ccc(NC(c5cccc(Br)c5)n5nc(-c6cc7ccccc7oc6=O)oc5=S)cc4)cc3)c3cccc(Br)c3)c(=S)o2)c2ccccc2o1,70.0
CHEMBL4538427,O=c1cc(-c2nn(C(Nc3ccc(NC(c4ccc(F)cc4)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)c3ccc(F)cc3)c(=S)o2)c2ccccc2o1,70.0
CHEMBL4574481,O=c1cc(-c2nn(C(Nc3ccc(-c4ccc(NC(c5ccc(Cl)cc5)n5nc(-c6cc7ccccc7oc6=O)oc5=S)cc4)cc3)c3ccc(Cl)cc3)c(=S)o2)c2ccccc2o1,70.0
CHEMBL4451108,O=c1cc(-c2nn(C(Nc3ccc(-c4ccc(NC(c5ccc([N+](=O)[O-])cc5)n5nc(-c6cc7ccccc7oc6=O)oc5=S)cc4)cc3)c3ccc([N+](=O)[O-])cc3)c(=S)o2)c2ccccc2o1,70.0
CHEMBL4453742,O=c1oc2ccccc2cc1-c1nn(C(Nc2ccc(Oc3ccc(NC(c4ccc(Cl)cc4Cl)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)cc2)c2ccc(Cl)cc2Cl)c(=S)o1,70.0
CHEMBL2051981,CO[C@H]1O[C@H](CO)[C@@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,72.0
CHEMBL5271914,O=c1c2cc(O)c(O)cc2oc2c([C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)c(O)cc(O)c12,76.98
CHEMBL5289086,COc1ccc2oc3ccc(O)cc3c(=O)c2c1,77.3
CHEMBL186068,CCCCCCCCN1CC(O)C(O)C(O)C1CO,80.0
CHEMBL187158,CCCCCCCCCN1CC(O)C(O)C(O)C1CO,80.0
