molecule_chembl_id,canonical_smiles,standard_value
CHEMBL3763591,CCO[C@H]([C@H](O)[C@@H](O)CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],270.0
CHEMBL3311515,Cc1ccc(CCCC[C@@H]2N[C@@H](CO)[C@H](O)[C@H]2O)cc1,280.0
CHEMBL1258528,O=S(=O)([O-])O[C@@H]([C@H](O)[C@@H](O)CO)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO,290.0
CHEMBL3765363,OC[C@@H]1[C@@H](O)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO.[Cl-],300.0
CHEMBL1684166,OC[C@@H]1[C@@H](O)[C@H](O)C[S@@+]1C[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO.[Cl-],300.0
CHEMBL5277322,OC[C@@H]1[C@@H](O)[C@H](O)C[S@@+]1C[C@@H](O)[C@H]1OC(c2cccc(C(F)(F)F)c2)OC[C@H]1O.[Cl-],300.0
CHEMBL4565442,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)c(Cl)cc4Cl)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)c(Cl)cc4Cl)cc23)cc1,300.0
CHEMBL2374252,OC[C@@H](N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,300.0
CHEMBL1770628,F[B-](F)(F)F.OC[C@H](OCc1ccccc1)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO,320.0
CHEMBL1641744,CCCCCCCC[C@@H]1N[C@@H](CO)[C@H](O)[C@H]1O,320.0
CHEMBL3764559,O=[N+]([O-])c1ccccc1CO[C@H]([C@H](O)[C@@H](O)CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],320.0
CHEMBL2051763,CO[C@H]1O[C@H](CO)[C@@H](N[C@H]2C=C(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,320.0
CHEMBL1561,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,350.0
CHEMBL404271,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,350.0
CHEMBL1641743,CCCCCCC[C@@H]1N[C@@H](CO)[C@H](O)[C@H]1O,380.0
CHEMBL478209,OC[C@H]1N[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,380.0
CHEMBL5282029,OC[C@@H]1[C@@H](O)[C@H](O)C[S@@+]1C[C@@H](O)[C@H]1OC(c2ccccc2F)OC[C@H]1O.[Cl-],400.0
CHEMBL4543092,O=C(NNC(=S)Nc1ccccc1Br)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400.0
CHEMBL4554478,O=C(NNC(=S)Nc1cccc([N+](=O)[O-])c1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400.0
CHEMBL3354625,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccc(-c2ccccc2)c(F)c1,400.0
CHEMBL4526013,COc1ccc(NC(=S)NNC(=O)c2ccc(-c3nnc(-c4ccccc4Cl)o3)cc2)cc1,400.0
CHEMBL4464685,O=C(NNC(=S)Nc1ccc([N+](=O)[O-])cc1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400.0
CHEMBL4550413,O=C(NNC(=S)Nc1ccc(Cl)cc1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400.0
CHEMBL408500,CCCCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,400.0
CHEMBL4466929,COc1cccc(NC(=S)NNC(=O)c2ccc(-c3nnc(-c4ccccc4Cl)o3)cc2)c1,400.0
CHEMBL4547036,O=C(NNC(=S)Nc1ccc(Cl)c(Cl)c1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400.0
CHEMBL3354621,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCC(F)(F)COCc1ccc(-c2ccccc2)cc1,400.0
CHEMBL4555448,O=C(NNC(=S)Nc1ccc(Br)cc1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400.0
CHEMBL4446128,COc1ccccc1NC(=S)NNC(=O)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400.0
CHEMBL4553428,O=C(NNC(=S)Nc1cccc(F)c1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400.0
CHEMBL4586665,O=C(NNC(=S)Nc1ccccc1F)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400.0
CHEMBL574645,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,400.0
CHEMBL4582866,O=C(NNC(=S)Nc1ccc(F)cc1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400.0
CHEMBL4443246,Cc1ccc(NC(=S)NNC(=O)c2ccc(-c3nnc(-c4ccccc4Cl)o3)cc2)cc1,400.0
CHEMBL4462975,Cc1cccc(NC(=S)NNC(=O)c2ccc(-c3nnc(-c4ccccc4Cl)o3)cc2)c1,400.0
CHEMBL5268739,OC[C@@H]1[C@@H](O)[C@H](O)C[S@@+]1C[C@@H](O)[C@H]1OC(c2ccccc2Cl)OC[C@H]1O.[Cl-],410.0
CHEMBL5283777,OC[C@@H]1[C@@H](O)[C@H](O)C[S@@+]1C[C@@H](O)[C@H]1OC(c2ccccc2)OC[C@H]1O.[Cl-],420.0
CHEMBL3764745,OC[C@@H]1[C@@H](O)[C@H](O)C[S+]1C[C@@H](O)[C@H](OCc1cccc(C(F)(F)F)c1)[C@H](O)[C@@H](O)CO.[Cl-],450.0
CHEMBL4863963,CCCCCCCCC[C@]1(CO)NC[C@H](O)[C@@H](O)[C@@H]1O.Cl,450.0
CHEMBL1770625,CO[C@@H](CO)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],460.0
CHEMBL1086997,CCCCN1C[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO,460.0
CHEMBL3814747,CO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],460.0
CHEMBL3751947,OC[C@@H]1NC[C@@H](O)[C@@H]1O,490.0
CHEMBL1088158,OC[C@@H]1[C@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,500.0
CHEMBL3354623,C[C@@H](OCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)c1ccc(-c2ccccc2)cc1,500.0
CHEMBL1651551,CCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,500.0
CHEMBL4519690,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc([N+](=O)[O-])cc4[N+](=O)[O-])cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc([N+](=O)[O-])cc4[N+](=O)[O-])cc23)cc1,500.0
CHEMBL3814555,CCCCCO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],500.0
CHEMBL1641742,CCCCCC[C@@H]1N[C@@H](CO)[C@H](O)[C@H]1O,510.0
CHEMBL3763423,OC[C@@H]1[C@@H](O)[C@H](O)C[S+]1C[C@@H](O)[C@H](OCc1cccc(Cl)c1)[C@H](O)[C@@H](O)CO.[Cl-],510.0
CHEMBL4593597,O=C1NC(=O)/C(=C/c2ccc(-c3nc4ccccc4n3Cc3ccc(Cl)cc3)cc2)S1,540.0
CHEMBL85398,O=C1CSC(=O)N1,540.0
CHEMBL4549286,O=C1NC(=O)/C(=C\c2ccc(-n3ccc4c(Nc5ccc(F)cc5)ccnc43)cc2)S1,550.0
CHEMBL4465310,Cc1nccn1-c1ccc(/C=C2/SC(=O)NC2=O)cc1,550.0
CHEMBL4472969,O=C1NC(=O)/C(=C\c2ccc(-n3cnc4ccccc43)cc2)S1,550.0
CHEMBL4521001,O=C(O)CN1C(=O)S/C(=C/c2ccc(-n3ccc4c(Br)ccnc43)cc2)C1=O,550.0
CHEMBL4541639,O=C1NC(=O)/C(=C\c2ccc(-n3ccc4c(Nc5ccccc5OC(F)(F)F)ccnc43)cc2)S1,550.0
CHEMBL4449655,CCOC(=O)CN1C(=O)S/C(=C/c2ccc(-n3ccc4c(Br)ccnc43)cc2)C1=O,550.0
CHEMBL4544064,O=C1NC(=O)/C(=C\c2ccc(-n3ncc4ccccc43)cc2)S1,550.0
CHEMBL4590014,O=C1NC(=O)/C(=C\c2ccc(-n3ccc4c(Br)ccnc43)cc2)S1,550.0
CHEMBL4456879,O=C1NC(=O)/C(=C\c2ccc(-n3cc([N+](=O)[O-])cn3)cc2)S1,550.0
CHEMBL4854197,CCCC[C@]1(CO)NC[C@H](O)[C@@H](O)[C@@H]1O.Cl,560.0
CHEMBL186291,CCCCCCCCC1NC(CO)C(O)C(O)C1O,590.0
CHEMBL2177695,CCCCCCCC[C@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,600.0
CHEMBL4582990,O=C(NNC(=S)Nc1ccc(C(F)(F)F)cc1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,600.0
CHEMBL5290630,O=C(Sc1nccs1)c1ccc(-c2ccccc2[N+](=O)[O-])o1,645.0
CHEMBL2177689,C[C@@]1(CO)NC[C@H](O)[C@H]1O,660.0
CHEMBL2177692,CCC[C@H](O)[C@@H]1N[C@@H](CO)[C@H](O)[C@H]1O,680.0
CHEMBL186150,CCCCCCN1CC(O)C(O)C(O)C1CO,700.0
CHEMBL5271502,O=c1ccc2c(Oc3cc4oc(=O)ccc4c(-c4c(O)c(O)c(-c5c(O)c(O)c(-c6c(O)c(O)cc7oc(=O)ccc67)c6ccc(=O)oc56)c5ccc(=O)oc45)c3O)c(O)c(O)cc2o1,700.0
CHEMBL5276620,OC[C@@H]1[C@@H](O)[C@H](O)C[S@@+]1C[C@@H](O)[C@H]1OC(c2cccc(F)c2)OC[C@H]1O.[Cl-],700.0
CHEMBL3763300,OC[C@@H]1[C@@H](O)[C@H](O)C[S+]1C[C@@H](O)[C@H](OCc1ccccc1Cl)[C@H](O)[C@@H](O)CO.[Cl-],700.0
CHEMBL87169,OCC1NC(CO)[C@@H](O)C(O)C1O,700.0
CHEMBL4554853,O=C(NNC(=S)Nc1ccccc1Cl)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,700.0
CHEMBL1641741,CCCCC[C@@H]1N[C@@H](CO)[C@H](O)[C@H]1O,710.0
CHEMBL5203897,OC[C@@]1(c2ccc(O)cc2)NC[C@@H](O)[C@@H]1O,740.0
CHEMBL1651552,CCCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,750.0
CHEMBL4555601,O=c1ccc2ccc(O)c(-c3c(OC4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)ccc4ccc(=O)oc34)c2o1,760.0
CHEMBL5266421,O=c1ccc2ccc(O)c(-c3c(O[C@@H]4OC(CO)[C@@H](O)C(O)C4O)ccc4ccc(=O)oc34)c2o1,760.0
CHEMBL4543696,O=c1ccc2ccc(Oc3cc4ccc(O)c(-c5c(OC6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)ccc6ccc(=O)oc56)c4oc3=O)cc2o1,780.0
CHEMBL364554,CCCCCCC1NC(CO)C(O)C(O)C1O,800.0
CHEMBL1651630,CCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,800.0
CHEMBL5396471,Oc1cc(-c2cc3cccc(Cl)c3o2)cc(O)c1O,830.0
CHEMBL5090583,C[C@]1(CO)NC[C@@H](O)[C@@H]1O,830.0
CHEMBL80254,OC[C@H]1NC[C@@H](O)[C@@H]1O,840.0
CHEMBL1641746,CCCCCCCCC[C@@H]1N[C@@H](CO)[C@H](O)[C@H]1O,840.0
CHEMBL5175772,Cc1cc(O)c2c(c1)-c1c(-c3ccc(O)cc3)c(=O)oc3c1c-2c(O)c1cccc(O)c13,890.0
CHEMBL406973,OC[C@@H]1NC[C@H](O)[C@H]1O,930.0
CHEMBL1603014,CC(=O)c1ccc(N2CCN(S(=O)(=O)c3ccc4c(c3)CC(=O)N4)CC2)cc1,940.0
CHEMBL5183794,OC[C@]1(c2cccc(F)c2)NC[C@H](O)[C@H]1O,950.0
CHEMBL5422054,N#Cc1ccc2[nH]c(-c3nnc(Nc4ccc(Cl)c(Cl)c4)s3)cc2c1,950.0
CHEMBL5192700,CCCCCCCCC[C@@]1(CO)NC[C@H](O)[C@H]1O,960.0
CHEMBL1651632,CCCCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,1000.0
CHEMBL5193222,Cc1ccc([C@@]2(CO)NC[C@H](O)[C@H]2O)cc1,1000.0
CHEMBL1258529,OC[C@@H]1[C@@H](O)[C@H](O)C[S@@+]1C[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO.[Cl-],1000.0
CHEMBL1651550,CCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,1000.0
CHEMBL1651631,CCCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,1000.0
CHEMBL1770627,CCCCCCCCCCCCCO[C@@H](CO)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],1000.0
CHEMBL5394863,CCCSc1nnc(C(C)c2ccc3cc(OC)ccc3c2)n1-c1ccc(F)cc1,1000.0
CHEMBL4544953,O=C(Cn1cc(Cn2c3ccccc3c3ccccc32)nn1)c1ccc(O)c(Br)c1,1000.0
CHEMBL5290356,CC(=O)Oc1cc2oc(-c3cccc(Cl)c3)cc2cc1-c1c[se]nn1,1030.0
CHEMBL5281215,COc1ccc(-c2cc3cc(-c4c[se]nn4)c(OC(C)=O)cc3o2)cc1,1030.0
CHEMBL5279361,CC(=O)Oc1cc2oc(-c3ccc(C)cc3)cc2cc1-c1c[se]nn1,1030.0
CHEMBL5284867,CC(=O)Oc1cc2oc(-c3ccc(F)cc3)cc2cc1-c1c[se]nn1,1030.0
CHEMBL5278906,CC(=O)Oc1cc2oc(-c3cccc(F)c3)cc2cc1-c1c[se]nn1,1030.0
CHEMBL5284988,CC(=O)Oc1cc2oc(-c3ccccc3)cc2cc1-c1c[se]nn1,1030.0
CHEMBL480722,CC(C)=CCC/C(C)=C/Cc1c(O)cc(O)c(C(=O)/C=C/c2ccc(O)cc2)c1O,1080.0
CHEMBL4456026,O=C(N/N=C/c1ccccc1)c1cc2ccccc2oc1=O,1100.0
CHEMBL4165370,COc1ccc(/C=N/NC(=O)c2cc3ccccc3oc2=O)cc1,1100.0
CHEMBL5420079,CCCSc1nnc(C(C)c2ccc3cc(OC)ccc3c2)n1-c1ccc(Cl)c(Cl)c1,1100.0
CHEMBL3814264,CCCCCCCCCCCCCO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],1100.0
CHEMBL4447231,O=C(N/N=C/c1ccccn1)c1cc2ccccc2oc1=O,1100.0
CHEMBL4450733,O=C(N/N=C/c1cccc(F)c1)c1cc2ccccc2oc1=O,1100.0
CHEMBL4461307,O=C(N/N=C/c1ccccc1F)c1cc2ccccc2oc1=O,1100.0
CHEMBL4549420,O=C(N/N=C/c1ccccc1[N+](=O)[O-])c1cc2ccccc2oc1=O,1100.0
CHEMBL5427700,O=C(N/N=C/c1ccc(O)c(O)c1)c1cc2ccccc2oc1=O,1100.0
CHEMBL4532196,O=C(N/N=C/c1cccc(O)c1O)c1cc2ccccc2oc1=O,1100.0
CHEMBL3590410,O=C(N/N=C/c1ccc([N+](=O)[O-])cc1)c1cc2ccccc2oc1=O,1100.0
CHEMBL4545537,O=C(N/N=C/c1ccc(F)cc1)c1cc2ccccc2oc1=O,1100.0
CHEMBL4473968,Cc1ccccc1/C=N/NC(=O)c1cc2ccccc2oc1=O,1100.0
CHEMBL4474453,COc1ccc(O)c(/C=N/NC(=O)c2cc3ccccc3oc2=O)c1,1100.0
CHEMBL4590536,Cc1cccc(/C=N/NC(=O)c2cc3ccccc3oc2=O)c1,1100.0
CHEMBL4566850,Cc1ccc(/C=N/NC(=O)c2cc3ccccc3oc2=O)cc1,1100.0
CHEMBL4475749,COc1ccc(/C=N/NC(=O)c2cc3ccccc3oc2=O)c(O)c1,1100.0
CHEMBL4558252,O=C(N/N=C/c1ccccc1O)c1cc2ccccc2oc1=O,1100.0
CHEMBL4161936,O=C(N/N=C/c1ccc(O)cc1O)c1cc2ccccc2oc1=O,1100.0
CHEMBL4176304,O=C(N/N=C/c1ccncc1)c1cc2ccccc2oc1=O,1100.0
CHEMBL254339,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCCCCOc1cccc(-c2cnn[nH]2)c1,1150.0
CHEMBL138007,COc1ccc(C2NC(=O)c3ccccc3N2)cc1,1150.0
CHEMBL1651629,CCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,1200.0
CHEMBL405957,OC[C@@H]1N[C@@H](CO)[C@H](O)[C@H]1O,1200.0
CHEMBL4435180,O=C1Nc2cc(Cl)ccc2/C1=C/c1ccc(-c2nnc(-c3cc(O)cc(O)c3)o2)cc1,1200.0
CHEMBL5273406,N#C/N=c1\sccn1C(=O)c1ccc(-c2cccc(Cl)c2)o1,1200.0
CHEMBL1641747,CCCCCCCCCC[C@@H]1N[C@@H](CO)[C@H](O)[C@H]1O,1200.0
CHEMBL4786471,CCCCCCCC[C@@H](O)[C@H](OS(=O)(=O)[O-])[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO,1200.0
CHEMBL4873613,CCCCCCCCCCCC[C@]1(CO)NC[C@H](O)[C@@H](O)[C@@H]1O.Cl,1200.0
CHEMBL3354627,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccc(-c2ccccc2)c(C(F)(F)F)c1,1250.0
CHEMBL4476267,O=c1cc(-c2cccc(OCc3cc(C(F)(F)F)ccc3C(F)(F)F)c2)oc2ccccc12,1260.0
CHEMBL1182462,OC[C@@H]1[C@@H](O)[C@H](O)C[S+]1C[C@@H](O)[C@@H](O)CO,1300.0
CHEMBL1684162,[O-][C@@H](CO)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO,1300.0
CHEMBL1467423,O=C1NC(c2ccc(O)cc2)Nc2ccccc21,1350.0
CHEMBL1093264,O=S(=O)([O-])O[C@@H]([C@H](O)[C@H](O)[C@@H](O)CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO,1370.0
CHEMBL3972306,Cc1cc(=O)oc2cc(OCCCCn3cc(CCCCN4C[C@H](O)[C@@H](O)[C@H](O)[C@H]4CO)nn3)ccc12,1400.0
CHEMBL2181097,O=C1Cc2cc(S(=O)(=O)N3CCN(c4ccc(C(=O)O)cc4)CC3)ccc2N1,1460.0
CHEMBL184028,CCCCCCCCCC1NC(CO)C(O)C(O)C1O,1500.0
CHEMBL4779172,CCCCCCCCCC[C@@H](O)[C@H](OS(=O)(=O)[O-])[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO,1500.0
CHEMBL2051978,C[C@H]1C[C@H](N)[C@H](O)[C@@H](O)[C@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,1500.0
CHEMBL3354626,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccc(-c2ccccc2)cc1C(F)(F)F,1500.0
CHEMBL5274020,C=C(C)/C=C/c1c(O)cc2oc3cc(O)c(O)c(/C=C/C(=C)C)c3c(=O)c2c1O,1500.0
CHEMBL5194087,Cc1cc(O)c2c(c1)-c1c(-c3c[nH]c4ccccc34)c(=O)oc3c1c-2c(O)c1cccc(O)c13,1580.0
CHEMBL239249,O=S(=O)([O-])O[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO,1600.0
CHEMBL2159763,O=S(=O)([O-])O[C@@H]([C@@H](O)[C@@H](O)[C@H](O)CO)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO,1600.0
CHEMBL2181103,CC(=O)c1ccc(N2CCN(S(=O)(=O)c3cc4c(cc3Cl)NC(=O)C4)CC2)cc1,1630.0
CHEMBL5283240,C=C(C)/C=C/c1c(O)cc2oc3cc(O)c(O)c(C/C=C(\C)CC=C(C)C)c3c(=O)c2c1O,1700.0
CHEMBL260553,CC(C)=CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O,1700.0
CHEMBL5195202,COc1cccc([C@]2(CO)NC[C@@H](O)[C@@H]2O)c1,1700.0
CHEMBL4744484,CCCCCC[C@@H](O)[C@H](OS(=O)(=O)[O-])[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO,1700.0
CHEMBL4864234,CCCCCCCCCC[C@]1(CO)NC[C@H](O)[C@@H](O)[C@@H]1O.Cl,1700.0
CHEMBL1645621,CCC[C@@H]1N[C@@H](CO)[C@H](O)[C@H]1O,1700.0
CHEMBL5076041,COc1ccc(-c2oc3cc(OC)cc(OC)c3c(=O)c2OCCCCCCCCN2C[C@H](O)[C@@H](O)[C@H](O)[C@H]2CO)cc1,1780.0
CHEMBL1082047,O[C@H]1[C@H]2[C@H](O)[C@H](O)CN2[C@H](O)C[C@H]1O,1800.0
CHEMBL450152,C=C(C)[C@@H]1CC[C@]2(C(=O)NCC(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)Cc6c([nH]c7ccccc67)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1800.0
CHEMBL3765431,OC[C@@H]1[C@@H](O)[C@H](O)C[S+]1C[C@@H](O)[C@H](OCc1ccccc1)[C@H](O)[C@@H](O)CO.[Cl-],1900.0
CHEMBL5282251,OC[C@@H]1[C@@H](O)[C@H](O)C[S@@+]1C[C@@H](O)[C@H]1OC(c2cccc(Cl)c2)OC[C@H]1O.[Cl-],1900.0
CHEMBL5274943,OC[C@@H]1[C@@H](O)[C@H](O)C[S@@+]1C[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](O)CO,1900.0
CHEMBL5269485,O=C(Sc1nccs1)c1ccc(-c2ccccc2Cl)o1,1935.0
CHEMBL1651628,CCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,2000.0
CHEMBL4757822,CCCCCCCC[C@@H](O)[C@H](O)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO.CS(=O)(=O)[O-],2000.0
CHEMBL4473640,Cn1cc(-c2nnc(-c3ccc(C(c4c[nH]c5ccccc45)c4c[nH]c5ccc(Cl)cc45)cc3)o2)c2ccccc21,2000.0
CHEMBL5412678,Cn1cc(-c2nnc(-c3ccc(C(c4cn(Cl)c5ccccc45)c4cn(Cl)c5ccccc45)cc3)o2)c2ccccc21,2000.0
CHEMBL1651549,CCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,2000.0
CHEMBL362754,CCCN1CC(O)C(O)C(O)C1CO,2000.0
CHEMBL312653,OC[C@H]1N[C@H](CO)[C@@H](O)[C@@H]1O,2000.0
CHEMBL4472850,Cc1cc2nnn(CC(=O)c3ccc(Cl)c(Cl)c3)c2cc1C,2040.0
CHEMBL4529174,COc1ccc(NC(=O)Cn2cc(COc3cc(O)c4c(=O)c5ccc(OC)cc5oc4c3)nn2)c(OC)c1,2060.0
CHEMBL4437002,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccccc4[N+](=O)[O-])cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccccc4[N+](=O)[O-])cc23)cc1,2100.0
CHEMBL5202712,COc1ccc([C@@]2(CO)NC[C@H](O)[C@H]2O)cc1,2100.0
CHEMBL4460255,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cccc([N+](=O)[O-])c4)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cccc([N+](=O)[O-])c4)cc23)cc1,2100.0
CHEMBL4439937,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc([N+](=O)[O-])cc4)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc([N+](=O)[O-])cc4)cc23)cc1,2100.0
CHEMBL4513811,CC1=NN(c2ccc([N+](=O)[O-])cc2)C(=O)/C1=C/c1cn(-c2ccccc2)nc1-c1cc2cc(Br)ccc2oc1=O,2100.0
CHEMBL5199880,COc1cccc([C@@]2(CO)NC[C@H](O)[C@H]2O)c1,2200.0
CHEMBL3593568,Cc1cc(O)c(O)cc1-c1cc(O)cc(O)c1,2200.0
CHEMBL4465201,CCCCCCCCCCCC(=O)N/N=C1\C(=O)Nc2ccccc21,2200.0
CHEMBL4451791,Cc1ccc(C(=O)N/N=C2\C(=O)Nc3ccc(Cl)cc32)cc1,2200.0
CHEMBL4445451,CCCN1C(=O)/C(=N\NC(=O)Cc2ccc(Cl)cc2Cl)c2ccccc21,2200.0
CHEMBL4455386,O=C1Nc2cc(Br)ccc2/C1=N/NC(=O)c1ccccc1O,2200.0
CHEMBL4540336,O=C(Cc1ccc(Cl)c(Cl)c1)N/N=C1\C(=O)Nc2cc(Br)ccc21,2200.0
CHEMBL4458470,O=C(Cc1ccc(Cl)cc1Cl)N/N=C1\C(=O)Nc2cc(Br)ccc21,2200.0
CHEMBL4449615,Cc1cc2nnn(CC(=O)c3ccc(Cl)cc3)c2cc1C,2210.0
CHEMBL5275756,O=C(Sc1nccs1)c1ccc(-c2ccccc2)o1,2223.0
CHEMBL184925,CN1CCN(c2ccc3[nH]c(-c4ccc(O)cc4)nc3c2)CC1,2250.0
CHEMBL4533183,COc1ccc(/C=N/NC(=O)c2cc3ccccc3[nH]2)cc1O,2300.0
CHEMBL4466754,Nc1nnc(-c2ccccc2[N+](=O)[O-])s1,2300.0
CHEMBL4554612,O=[N+]([O-])c1cccc(-c2nnc(/N=C/c3ccc(Cl)cc3Cl)s2)c1,2300.0
CHEMBL4461186,Clc1ccc(-c2nnc(/N=C/c3ccc(OCc4ccccc4)cc3)s2)cc1,2300.0
CHEMBL5207259,CCCC[C@]1(CO)NC[C@@H](O)[C@@H]1O,2300.0
CHEMBL1534367,Nc1nnc(-c2ccc(Cl)cc2Cl)s1,2300.0
CHEMBL4532290,CN(C)c1ccc(-c2nnc(N)s2)cc1,2300.0
CHEMBL4444070,COc1ccc(Br)cc1-c1nnc(N)s1,2300.0
CHEMBL4469380,COc1cccc(-c2nnc(N)s2)c1OC,2300.0
CHEMBL4466501,Nc1nnc(-c2c3ccccc3cc3ccccc23)s1,2300.0
CHEMBL4471582,Nc1nnc(-c2cc3ccccc3cc2O)s1,2300.0
CHEMBL4471826,Nc1nnc(-c2ccc(O)cc2)s1,2300.0
CHEMBL4442881,Nc1nnc(-c2ccc(Cl)c(OCc3ccccc3)c2)s1,2300.0
CHEMBL1383520,Nc1nnc(-c2ccc(Cl)cc2)s1,2300.0
CHEMBL4550622,Nc1nnc(-c2ccc([N+](=O)[O-])cc2)s1,2300.0
