molecule_chembl_id,canonical_smiles,standard_value,pref_name,search_term
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,1670.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL254339,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCCCCOc1cccc(-c2cnn[nH]2)c1,1150.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL254145,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCCOc1cccc(-c2cnn[nH]2)c1,2410.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL401628,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCOc1cccc(-c2cnn[nH]2)c1,6070.0,Alpha-glucosidase,alpha_glucosidase
