molecule_chembl_id,canonical_smiles,standard_value,pref_name,search_term
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,,Neutral alpha-glucosidase AB,alpha_glucosidase
CHEMBL312653,OC[C@H]1N[C@H](CO)[C@@H](O)[C@@H]1O,,Neutral alpha-glucosidase AB,alpha_glucosidase
CHEMBL456583,OC[C@H]1NCC[C@H](O)[C@@H]1O,,Neutral alpha-glucosidase AB,alpha_glucosidase
CHEMBL1818438,OC[C@H]1NCC[C@@H](O)[C@H]1O,,Neutral alpha-glucosidase AB,alpha_glucosidase
CHEMBL2114189,CC[C@H]1NC[C@@H](O)[C@@H]1O,53000.0,Neutral alpha-glucosidase AB,alpha_glucosidase
CHEMBL108084,OC[C@H]1NCC[C@@H](O)[C@@H]1O,,Neutral alpha-glucosidase AB,alpha_glucosidase
CHEMBL2115197,CC[C@H]1NC[C@H](O)[C@@H]1O,,Neutral alpha-glucosidase AB,alpha_glucosidase
