molecule_chembl_id,canonical_smiles,standard_value,pref_name,search_term
CHEMBL1086996,OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,1000000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL574645,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,500.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1651639,CCCCCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,1000000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1651638,CCCCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,1000000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1651637,CCCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,1000000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1651636,CCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,1000000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1651635,CCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,1000000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1651634,CCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,1000000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1651633,CCCCCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,2500.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1651632,CCCCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,1000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1651631,CCCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,1000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1651630,CCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,800.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1651629,CCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,1200.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1651628,CCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,2000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1651627,CCCCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,1000000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1651626,CCCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,60000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1651555,CCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,1000000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1651554,CCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,600000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1651553,CCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,1000000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1076754,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,1000000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL408500,CCCCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,400.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1651552,CCCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,750.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1651551,CCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,500.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1651550,CCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,1000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1651549,CCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,2000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1029,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,600.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL4061367,CCCCN1C[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1CO,2000000.0,Sucrase-isomaltase,alpha_glucosidase
