molecule_chembl_id,canonical_smiles,standard_value,pref_name,search_term
CHEMBL404271,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,442400.0,Alpha glucosidase,alpha_glucosidase
CHEMBL4162593,COc1cc(OC)c([C@@H](OC)[C@H](C)O)cc1OC,80600.0,Alpha glucosidase,alpha_glucosidase
CHEMBL4209391,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccccc1F,,Alpha glucosidase,alpha_glucosidase
CHEMBL4216696,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1cccc(F)c1,,Alpha glucosidase,alpha_glucosidase
CHEMBL4205013,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccc(F)cc1,,Alpha glucosidase,alpha_glucosidase
CHEMBL4204411,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccc(F)c(F)c1,,Alpha glucosidase,alpha_glucosidase
CHEMBL4208101,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccccc1Cl,,Alpha glucosidase,alpha_glucosidase
CHEMBL4203029,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccc(Cl)cc1,,Alpha glucosidase,alpha_glucosidase
CHEMBL4211867,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1cccc(Cl)c1Cl,,Alpha glucosidase,alpha_glucosidase
CHEMBL4218160,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccc(Cl)c(Cl)c1,,Alpha glucosidase,alpha_glucosidase
CHEMBL4205275,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccccc1Br,,Alpha glucosidase,alpha_glucosidase
CHEMBL4217760,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1cccc(Br)c1,,Alpha glucosidase,alpha_glucosidase
CHEMBL4214990,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccc(Br)cc1,,Alpha glucosidase,alpha_glucosidase
CHEMBL4217724,Cc1cccc(/C=C2\CCC/C(=C\c3ccccc3)C2=O)c1,,Alpha glucosidase,alpha_glucosidase
CHEMBL4202408,Cc1ccc(/C=C2\CCC/C(=C\c3ccccc3)C2=O)cc1,,Alpha glucosidase,alpha_glucosidase
CHEMBL4162803,COc1ccc(/C=C2\CCC/C(=C\c3ccccc3)C2=O)cc1,,Alpha glucosidase,alpha_glucosidase
CHEMBL4167411,COc1cccc(/C=C2\CCC/C(=C\c3ccccc3)C2=O)c1OC,,Alpha glucosidase,alpha_glucosidase
CHEMBL4216636,COc1ccc(/C=C2\CCC/C(=C\c3ccccc3)C2=O)c(OC)c1,,Alpha glucosidase,alpha_glucosidase
CHEMBL4204199,COc1ccc(OC)c(/C=C2\CCC/C(=C\c3ccccc3)C2=O)c1,,Alpha glucosidase,alpha_glucosidase
CHEMBL4209683,COc1cc(/C=C2\CCC/C(=C\c3ccccc3)C2=O)cc(OC)c1OC,,Alpha glucosidase,alpha_glucosidase
CHEMBL4212935,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1cccc(O)c1,28400.0,Alpha glucosidase,alpha_glucosidase
CHEMBL4072055,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccc(O)cc1,42300.0,Alpha glucosidase,alpha_glucosidase
CHEMBL4208759,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccc(O)c(O)c1,20300.0,Alpha glucosidase,alpha_glucosidase
CHEMBL50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,7800.0,Alpha glucosidase,alpha_glucosidase
CHEMBL3601637,O=C(C1=C(O)/C(=C/c2cccc(O)c2)CCC1)c1ccccc1,,Alpha glucosidase,alpha_glucosidase
CHEMBL3601735,O=C(C1=C(O)/C(=C/c2ccc(O)cc2)CCC1)c1ccccc1,,Alpha glucosidase,alpha_glucosidase
CHEMBL3601736,O=C(C1=C(O)/C(=C/c2ccc(O)c(O)c2)CCC1)c1ccccc1,41000.0,Alpha glucosidase,alpha_glucosidase
CHEMBL4203267,O=C(/C=C(O)/C=C/c1cccc(O)c1)c1ccccc1O,,Alpha glucosidase,alpha_glucosidase
CHEMBL2332173,O=C(/C=C(O)/C=C/c1ccc(O)cc1)c1ccccc1O,,Alpha glucosidase,alpha_glucosidase
CHEMBL4217611,O=C(/C=C(O)/C=C/c1ccc(O)cc1O)c1ccccc1O,40700.0,Alpha glucosidase,alpha_glucosidase
CHEMBL2331563,O=C(/C=C(O)/C=C/c1ccc(O)c(O)c1)c1ccccc1O,14300.0,Alpha glucosidase,alpha_glucosidase
CHEMBL4215150,O=C(/C=C(O)/C=C/c1cccc(O)c1)c1cc(Cl)ccc1O,36400.0,Alpha glucosidase,alpha_glucosidase
CHEMBL4208282,O=C(/C=C(O)/C=C/c1ccc(O)cc1)c1cc(Cl)ccc1O,,Alpha glucosidase,alpha_glucosidase
CHEMBL4216309,O=C(/C=C(O)/C=C/c1ccc(O)c(O)c1)c1cc(Cl)ccc1O,15100.0,Alpha glucosidase,alpha_glucosidase
CHEMBL4213032,O=C(/C=C(O)/C=C/c1ccco1)c1cc(O)ccc1O,14100.0,Alpha glucosidase,alpha_glucosidase
CHEMBL4212356,O=C(/C=C(O)/C=C/c1cc(O)ccc1O)c1cc(O)ccc1O,19600.0,Alpha glucosidase,alpha_glucosidase
