molecule_chembl_id,canonical_smiles,standard_value,pref_name,search_term
CHEMBL2114210,OC[C@H]1N[C@H](CO)[C@@H](O)C(O)[C@@H]1O,46000.0,Acidic alpha-glucosidase,alpha_glucosidase
CHEMBL87169,OCC1NC(CO)[C@@H](O)C(O)C1O,1600.0,Acidic alpha-glucosidase,alpha_glucosidase
CHEMBL2115215,OC[C@@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,4600.0,Acidic alpha-glucosidase,alpha_glucosidase
CHEMBL501355,OC[C@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,340.0,Acidic alpha-glucosidase,alpha_glucosidase
CHEMBL2093897,OC[C@@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,15000.0,Acidic alpha-glucosidase,alpha_glucosidase
CHEMBL2442258,CN1[C@H](CO)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,170.0,Acidic alpha-glucosidase,alpha_glucosidase
CHEMBL3084806,CCCCN1[C@H](CO)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,4800.0,Acidic alpha-glucosidase,alpha_glucosidase
CHEMBL1169500,OC[C@H]1N[C@H](CO)[C@H](O)C(O)[C@H]1O,410000.0,Acidic alpha-glucosidase,alpha_glucosidase
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,560000.0,Acidic alpha-glucosidase,alpha_glucosidase
CHEMBL312653,OC[C@H]1N[C@H](CO)[C@@H](O)[C@@H]1O,,Acidic alpha-glucosidase,alpha_glucosidase
CHEMBL456583,OC[C@H]1NCC[C@H](O)[C@@H]1O,500000.0,Acidic alpha-glucosidase,alpha_glucosidase
CHEMBL1818438,OC[C@H]1NCC[C@@H](O)[C@H]1O,,Acidic alpha-glucosidase,alpha_glucosidase
CHEMBL2114189,CC[C@H]1NC[C@@H](O)[C@@H]1O,55000.0,Acidic alpha-glucosidase,alpha_glucosidase
CHEMBL108084,OC[C@H]1NCC[C@@H](O)[C@@H]1O,820000.0,Acidic alpha-glucosidase,alpha_glucosidase
CHEMBL2115197,CC[C@H]1NC[C@H](O)[C@@H]1O,,Acidic alpha-glucosidase,alpha_glucosidase
CHEMBL488156,OC[C@H](O)[C@H]1N[C@H](CO)[C@@H](O)[C@@H]1O,400000.0,Acidic alpha-glucosidase,alpha_glucosidase
CHEMBL503021,C[C@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,18000.0,Acidic alpha-glucosidase,alpha_glucosidase
