molecule_chembl_id,canonical_smiles,standard_value,pref_name,search_term
CHEMBL5277115,Cc1c(C(=O)CS(=O)(=O)c2ccccc2)c(=O)n(-c2ccccc2)n1C,63660.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL5284988,CC(=O)Oc1cc2oc(-c3ccccc3)cc2cc1-c1c[se]nn1,1030.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL5278906,CC(=O)Oc1cc2oc(-c3cccc(F)c3)cc2cc1-c1c[se]nn1,1030.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL5284867,CC(=O)Oc1cc2oc(-c3ccc(F)cc3)cc2cc1-c1c[se]nn1,1030.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL5290356,CC(=O)Oc1cc2oc(-c3cccc(Cl)c3)cc2cc1-c1c[se]nn1,1030.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL5279361,CC(=O)Oc1cc2oc(-c3ccc(C)cc3)cc2cc1-c1c[se]nn1,1030.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL5281215,COc1ccc(-c2cc3cc(-c4c[se]nn4)c(OC(C)=O)cc3o2)cc1,1030.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL5266328,O=C(C1=C(c2ccccc2O)Oc2[nH]c(=S)[nH]c(=O)c2C1c1ccc(Cl)cc1)N1CCCCC1,4021000.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL5279919,COc1ccc(C2C(C(=O)N3CCCCC3)=C(c3ccccc3O)Oc3[nH]c(=S)[nH]c(=O)c32)cc1,5223000.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL5266358,COc1cc(C2C(C(=O)N3CCCCC3)=C(c3ccccc3O)Oc3[nH]c(=S)[nH]c(=O)c32)ccc1O,4862000.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL5272468,O=C(C1=C(c2ccccc2O)Oc2[nH]c(=S)[nH]c(=O)c2C1c1ccc(O)cc1)N1CCCCC1,3553000.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL5271257,O=C(C1=C(c2ccccc2O)Oc2[nH]c(=S)[nH]c(=O)c2C1c1ccccc1)N1CCCCC1,7745000.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL5285447,Cc1ccc(C2C(C(=O)N3CCCCC3)=C(c3ccccc3O)Oc3[nH]c(=S)[nH]c(=O)c32)cc1,4000000.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL5290916,O=C(C1=C(c2ccccc2O)Oc2[nH]c(=S)[nH]c(=O)c2C1c1ccc(Br)cc1)N1CCCCC1,6855000.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL5278862,O=C(C1=C(c2ccccc2O)Oc2[nH]c(=S)[nH]c(=O)c2C1c1ccc(F)cc1)N1CCCCC1,4101000.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL5270068,O=C(C1=C(c2ccccc2O)Oc2[nH]c(=S)[nH]c(=O)c2C1c1cc2ccccc2cc1O)N1CCCCC1,5337000.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL5272008,O=C(C1=C(c2ccccc2O)Oc2[nH]c(=S)[nH]c(=O)c2C1c1ccccc1O)N1CCCCC1,6197000.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL404271,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,326800.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL5291178,COc1cc(/C=C/C(=O)C2=C(/C=C/c3ccc(O)c(OC)c3)Oc3[nH]c(=O)[nH]c(=O)c3C2c2cccc([N+](=O)[O-])c2)ccc1O,9700.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL5282120,COc1cc(/C=C/C(=O)C2=C(/C=C/c3ccc(O)c(OC)c3)Oc3[nH]c(=O)[nH]c(=O)c3C2c2c[nH]c3ccccc23)ccc1O,35300.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL5278001,COc1cc(/C=C/C(=O)C2=C(/C=C/c3ccc(O)c(OC)c3)Oc3[nH]c(=O)[nH]c(=O)c3C2c2ccc([N+](=O)[O-])cc2)ccc1O,12410.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL5277933,COc1cc(/C=C/C(=O)C2=C(/C=C/c3ccc(O)c(OC)c3)Oc3[nH]c(=O)[nH]c(=O)c3C2c2c(Cl)cccc2Cl)ccc1O,27600.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,44800.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL4435163,Cc1cc2c(c(=O)[nH]1)C(=O)O/C2=C\c1cc(Br)cs1,240.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL5286029,O=C(CO)CCC(=O)c1nc(C(=O)O)cc2c1[nH]c1ccccc12,63.3,Alpha-glucosidase,alpha_glucosidase
