molecule_chembl_id,canonical_smiles,standard_value,pref_name,search_term
CHEMBL1086996,OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,1000000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL574645,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,4000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL1651639,CCCCCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,1000000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL1651638,CCCCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,1000000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL1651637,CCCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,1000000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL1651636,CCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,1000000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL1651635,CCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,1000000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL1651634,CCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,1000000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL1651633,CCCCCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,25000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL1651632,CCCCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,10000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL1651631,CCCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,7000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL1651630,CCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,5000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL1651629,CCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,4000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL1651628,CCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,8000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL1651627,CCCCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,1000000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL1651626,CCCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,600000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL1651555,CCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,1000000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL1651554,CCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,1000000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL1651553,CCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,1000000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL1076754,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,1000000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL408500,CCCCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,8000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL1651552,CCCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,8000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL1651551,CCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,10000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL1651550,CCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,10000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL1651549,CCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,10000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL1029,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,9000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL404271,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,100000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL2207959,COc1ccc2c(c1)SC1=NC(c3ccc(Br)cc3)=C/C(=C\C#N)N12,14130.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL2207958,CCOc1ccc2c(c1)SC1=NC(c3ccccc3)=C/C(=C\C#N)N12,18700.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL2207957,COc1ccc2c(c1)SC1=NC(c3ccccc3)=C/C(=C\C#N)N12,24950.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL2207956,COc1ccc2c(c1)SC1=NC(c3ccc(C)cc3)=C/C(=C\C#N)N12,18290.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL2207955,Cc1ccc(C2=C/C(=C\C#N)N3C(=N2)Sc2ccccc23)cc1,20300.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL2207954,COc1ccc2c(c1)SC1=NC(c3ccc(Cl)cc3)=C/C(=C\C#N)N12,19700.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL2207953,COc1ccc2c(c1)SC1=NC(c3ccc4ccccc4c3)=C/C(=C\C#N)N12,15940.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL2207952,N#C/C=C1\C=C(c2ccc3ccccc3c2)N=C2Sc3ccccc3N21,21190.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL2207951,COc1ccc2c(c1)SC1=NC(c3ccc(F)cc3)=C/C(=C\C#N)N12,21120.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL2203334,N#C/C=C1\C=C(c2ccc(Br)cc2)N=C2Sc3ccccc3N21,28160.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL2207950,N#C/C=C1\C=C(c2ccc(F)cc2)N=C2Sc3ccccc3N21,25030.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL2207949,N#C/C=C1\C=C(c2ccc(Cl)cc2)N=C2Sc3ccccc3N21,22010.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL2207948,N#C/C=C1\C=C(c2ccccc2)N=C2Sc3ccccc3N21,23540.0,Lysosomal alpha-glucosidase,alpha_glucosidase
