molecule_chembl_id,canonical_smiles,standard_value,pref_name,search_term
CHEMBL320116,OCC1NC(CO)[C@H](O)[C@@H](O)[C@@H]1O,50000.0,Neutral alpha-glucosidase C,alpha_glucosidase
CHEMBL327137,OCC1NC(CO)[C@H](O)[C@H](O)[C@@H]1O,46000.0,Neutral alpha-glucosidase C,alpha_glucosidase
CHEMBL501355,OC[C@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,340.0,Neutral alpha-glucosidase C,alpha_glucosidase
CHEMBL2111688,OC[C@H]1N[C@H](CO)[C@@H](O)[C@@H](O)[C@H]1O,50000.0,Neutral alpha-glucosidase C,alpha_glucosidase
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,34000.0,Neutral alpha-glucosidase C,alpha_glucosidase
CHEMBL312653,OC[C@H]1N[C@H](CO)[C@@H](O)[C@@H]1O,91000.0,Neutral alpha-glucosidase C,alpha_glucosidase
CHEMBL456583,OC[C@H]1NCC[C@H](O)[C@@H]1O,6400.0,Neutral alpha-glucosidase C,alpha_glucosidase
CHEMBL1818438,OC[C@H]1NCC[C@@H](O)[C@H]1O,,Neutral alpha-glucosidase C,alpha_glucosidase
CHEMBL2114189,CC[C@H]1NC[C@@H](O)[C@@H]1O,5800.0,Neutral alpha-glucosidase C,alpha_glucosidase
CHEMBL108084,OC[C@H]1NCC[C@@H](O)[C@@H]1O,460000.0,Neutral alpha-glucosidase C,alpha_glucosidase
CHEMBL2115197,CC[C@H]1NC[C@H](O)[C@@H]1O,17000.0,Neutral alpha-glucosidase C,alpha_glucosidase
