molecule_chembl_id,canonical_smiles,standard_value,pref_name,search_term
CHEMBL2374254,OC[C@@]1(O)C[C@H](NC[C@H](O)c2ccccc2)[C@H](O)[C@H](O)[C@H]1O,2.9,Sucrase-isomaltase,alpha_glucosidase
CHEMBL2051980,CO[C@H]1O[C@H](C)[C@@H](N[C@H]2C=C(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,16000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL2051761,C[C@H]1C[C@H](N)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,7.5,Sucrase-isomaltase,alpha_glucosidase
CHEMBL2051982,C[C@H]1C[C@@H](O)[C@H](O)[C@@H](O)[C@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,35.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL2374252,OC[C@@H](N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,300.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL3349433,OC[C@@]1(O)C[C@H](NCC2CCCCC2)[C@H](O)[C@@H](O)[C@@H]1O,9.3,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1230806,N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,53000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL3349432,OC[C@@]1(O)C[C@H](N[C@@H]2CCCC[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,5.2,Sucrase-isomaltase,alpha_glucosidase
CHEMBL3349431,OCN(CO)[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,4.6,Sucrase-isomaltase,alpha_glucosidase
CHEMBL3349439,OC[C@@]1(O)C[C@H](N[C@H]2CCCC[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,160.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL3349435,OC[C@@]1(O)C[C@H](NCc2ccc(Br)cc2)[C@H](O)[C@@H](O)[C@@H]1O,15.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL2051983,CO[C@H]1O[C@H](C)[C@@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,10.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL3349440,OCC(CO)N[C@H]1C[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,180.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL222396,N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,49.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL2051762,C[C@H]1C[C@H](O)[C@H](O)[C@@H](O)[C@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,36.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1628264,N[C@H]1C[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,7500.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL3349436,OCC1=C[C@H](NC(CO)CO)[C@H](O)[C@@H](O)[C@@H]1O,180.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL2051978,C[C@H]1C[C@H](N)[C@H](O)[C@@H](O)[C@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,5300.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL2051981,CO[C@H]1O[C@H](CO)[C@@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,80.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL3349441,OC[C@@]1(O)C[C@H](NCc2cccs2)[C@H](O)[C@@H](O)[C@@H]1O,3.3,Sucrase-isomaltase,alpha_glucosidase
CHEMBL2374255,OC[C@@]1(O)C[C@H](NC[C@@H](O)c2ccccc2)[C@H](O)[C@H](O)[C@H]1O,190.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL2051763,CO[C@H]1O[C@H](CO)[C@@H](N[C@H]2C=C(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,320.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL3349438,CC(C)=CCC/C(C)=C/CN[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,11.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL2051760,CO[C@H]1O[C@H](C)[C@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,250.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL3349443,OC[C@@]1(O)C[C@H](NC/C=C/c2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O,14.0,Sucrase-isomaltase,alpha_glucosidase
