molecule_chembl_id,canonical_smiles,standard_value,pref_name,search_term
CHEMBL1213470,OC[C@H]1N/C(=N/O)[C@H](O)[C@@H](O)[C@@H]1O,100000.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL3787285,O=C(Nc1ccccc1)O/N=C1\N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,70970.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL3786399,O=C(Nc1cccc2ccccc12)O/N=C1\N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,3060.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL3786789,O=C(Nc1ccc(Oc2ccccc2)cc1)O/N=C1\N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,22020.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL3785103,O=C(Nc1c(F)cccc1F)O/N=C1\N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,4930.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL3786410,O=C(Nc1c(Cl)cccc1C(F)(F)F)O/N=C1\N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,18850.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL3786889,CSc1ccc(NC(=O)O/N=C2\N[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,7030.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL3787337,O=C(Nc1cccs1)O/N=C1\N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,14650.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL3787212,O=C(Nc1ccc2nsnc2c1)O/N=C1\N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,7400.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL3786269,O=C(NC12CC3CC(CC(C3)C1)C2)O/N=C1\N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,4090.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL3785799,CC(C)(C)NC(=O)O/N=C1\N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,87050.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL3786086,CCCCCCCCCCCCNC(=O)O/N=C1\N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,100000.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL408500,CCCCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,100000.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL206468,OC[C@H]1CNC[C@@H](O)[C@@H]1O,100000.0,Alpha-glucosidase,alpha_glucosidase
