molecule_chembl_id,canonical_smiles,standard_value,pref_name,search_term
CHEMBL2114210,OC[C@H]1N[C@H](CO)[C@@H](O)C(O)[C@@H]1O,110000.0,Maltase-glucoamylase,alpha_glucosidase
CHEMBL87169,OCC1NC(CO)[C@@H](O)C(O)C1O,700.0,Maltase-glucoamylase,alpha_glucosidase
CHEMBL2115215,OC[C@@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,3200.0,Maltase-glucoamylase,alpha_glucosidase
CHEMBL501355,OC[C@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,40.0,Maltase-glucoamylase,alpha_glucosidase
CHEMBL2093897,OC[C@@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,8400.0,Maltase-glucoamylase,alpha_glucosidase
CHEMBL2442258,CN1[C@H](CO)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,60.0,Maltase-glucoamylase,alpha_glucosidase
CHEMBL3084806,CCCCN1[C@H](CO)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,4200.0,Maltase-glucoamylase,alpha_glucosidase
CHEMBL77918,CCCCN1[C@H](CO)[C@@H](O)[C@H](O)[C@H]1CO,50000.0,Maltase-glucoamylase,alpha_glucosidase
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,360.0,Maltase-glucoamylase,alpha_glucosidase
CHEMBL80254,OC[C@H]1NC[C@@H](O)[C@@H]1O,55000.0,Maltase-glucoamylase,alpha_glucosidase
CHEMBL310229,CCCCN1C[C@@H](O)[C@H](O)[C@H]1CO,50000.0,Maltase-glucoamylase,alpha_glucosidase
CHEMBL310231,CN1[C@H](CO)[C@@H](O)[C@H](O)[C@H]1CO,50000.0,Maltase-glucoamylase,alpha_glucosidase
CHEMBL312653,OC[C@H]1N[C@H](CO)[C@@H](O)[C@@H]1O,50000.0,Maltase-glucoamylase,alpha_glucosidase
