molecule_chembl_id,canonical_smiles,standard_value,pref_name,search_term
CHEMBL77918,CCCCN1[C@H](CO)[C@@H](O)[C@H](O)[C@H]1CO,50000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,210.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL80254,OC[C@H]1NC[C@@H](O)[C@@H]1O,16000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL310229,CCCCN1C[C@@H](O)[C@H](O)[C@H]1CO,270000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL310231,CN1[C@H](CO)[C@@H](O)[C@H](O)[C@H]1CO,620000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL312653,OC[C@H]1N[C@H](CO)[C@@H](O)[C@@H]1O,44000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1029,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,580.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL75971,CN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,40.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL80148,CN1C[C@@H](O)[C@H](O)[C@H]1CO,70000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL369297,OC[C@@H]1NC[C@@H](O)[C@H](O)[C@H]1O,28000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL84844,OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O,110000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL186291,CCCCCCCCC1NC(CO)C(O)C(O)C1O,1900.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL184028,CCCCCCCCCC1NC(CO)C(O)C(O)C1O,4000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL362754,CCCN1CC(O)C(O)C(O)C1CO,7000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL186150,CCCCCCN1CC(O)C(O)C(O)C1CO,3700.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL186068,CCCCCCCCN1CC(O)C(O)C(O)C1CO,1500.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL187158,CCCCCCCCCN1CC(O)C(O)C(O)C1CO,1300.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL3351101,CCCC[C@H]1N[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,12000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL3349976,CCCC[C@@H]1N[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,210000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL187208,CCCC1NC(CO)C(O)C(O)C1O,43000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL364554,CCCCCCC1NC(CO)C(O)C(O)C1O,3500.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL8260,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,52000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL257289,N[C@H]1[C@H](O)CCC[C@@H]1O,500000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL270197,Nc1ccc(O)cc1O,500000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL307145,Oc1cccc(O)c1O,500000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL403239,Nc1c(O)cccc1O,4200.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL402196,CC(=O)c1ccc(O)c(N)c1O,3600.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL268675,Nc1c(O)cc2oc(-c3ccccc3)cc(=O)c2c1O,2400.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL259721,[O-][C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO,10000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL408278,OC[C@H]1SC[C@@H](O)[C@@H]1O,290000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL1208974,O=S(=O)([O-])O[C@@H](CO)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO,2400.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL247666,OCCN1C[C@@H](O)[C@H](O)[C@H]1CO,720000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL408355,OC[C@H]1NCC[C@@H]1O,160000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL405957,OC[C@@H]1N[C@@H](CO)[C@H](O)[C@H]1O,1400.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL406973,OC[C@@H]1NC[C@H](O)[C@H]1O,1300.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL259905,OC[C@@H]1N[C@H](CO)[C@@H](O)[C@@H]1O,150000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL499404,C[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](OC[C@H]3O[C@@H](OC(=O)[C@]45CCC(C)(C)C[C@H]4C4=CC[C@@H]6[C@@]7(C)CC[C@H](O[C@@H]8OC[C@H](O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O)[C@H]8O)C(C)(C)[C@@H]7CC[C@@]6(C)[C@]4(C)CC5)[C@H](O)[C@@H](O)[C@@H]3O)O[C@@H]2CO)[C@H](O)[C@H](O)[C@H]1O,59500.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL507403,C[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](OC[C@H]3O[C@@H](OC(=O)[C@]45CCC(C)(C)C[C@H]4C4=CC[C@@H]6[C@@]7(C)CC[C@H](O[C@@H]8OC[C@H](O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O)[C@H]8O)[C@@](C)(CO)[C@@H]7CC[C@@]6(C)[C@]4(C)CC5)[C@H](O)[C@@H](O)[C@@H]3O)O[C@@H]2CO)[C@H](O)[C@H](O)[C@H]1O,45800.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL261634,OC[C@H]1NC[C@H](O)[C@@H]1O,95000.0,Sucrase-isomaltase,alpha_glucosidase
CHEMBL456077,OCC(O)[C@H]1N[C@H](CO)[C@@H](O)[C@@H]1O,300000.0,Sucrase-isomaltase,alpha_glucosidase
