molecule_chembl_id,canonical_smiles,standard_value,pref_name,search_term
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,30.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL369297,OC[C@@H]1NC[C@@H](O)[C@H](O)[C@H]1O,4300.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL179409,OC[C@@H]1NC[C@H](O)[C@@H](O)[C@H]1O,450000.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL186291,CCCCCCCCC1NC(CO)C(O)C(O)C1O,590.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL184028,CCCCCCCCCC1NC(CO)C(O)C(O)C1O,1500.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL362754,CCCN1CC(O)C(O)C(O)C1CO,2000.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL186150,CCCCCCN1CC(O)C(O)C(O)C1CO,700.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL186068,CCCCCCCCN1CC(O)C(O)C(O)C1CO,80.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL187158,CCCCCCCCCN1CC(O)C(O)C(O)C1CO,80.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL1029,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,420.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL3351101,CCCC[C@H]1N[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,11000.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL3349976,CCCC[C@@H]1N[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,61000.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL187208,CCCC1NC(CO)C(O)C(O)C1O,15000.0,Alpha-glucosidase,alpha_glucosidase
CHEMBL364554,CCCCCCC1NC(CO)C(O)C(O)C1O,800.0,Alpha-glucosidase,alpha_glucosidase
