molecule_chembl_id,canonical_smiles,standard_value,pref_name,search_term
CHEMBL14503,O=S(=O)([O-])O[C@H](CO)[C@@H](O)C[S+]1CCCC1,,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL277086,C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[I-],,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL3349573,O=S(=O)([O-])O[C@H](CO)[C@@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@@H]1CO,3400000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL277135,O=S(=O)([O-])O[C@@H](CO)[C@H](O)C[S+]1CCCC1,,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL3349574,O=S(=O)([O-])O[C@@H](CO)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@@H]1CO,,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL313375,OCC1C(O)C(O)C2OC(Nc3ccccc3)=NC12,2320.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL87120,NC1C(O)C(O)C(O)C1O,300000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL86772,OCC12OC(Nc3ccccc3)=NC1C(O)C(O)C2O,10.3,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL88408,OCC1(O)C(O)C(O)C2N=C(Nc3ccccc3)OC21,2930.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL86865,OC1C(O)C2N=C(Nc3ccccc3)OC2C1O,300000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL88413,NC1C(O)C(O)C(O)C1(O)CO,162000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL314403,OCC1(O)C(O)C(O)C2(CO)OCC(Nc3ccccc3)=NC12,300000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,91900.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL414447,COC1CNCC(O)C1O,1000000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL110830,O[C@H]1[C@H](O)CNC[C@@H]1O,1000000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL357108,CC1CNCC(O)C1O,1000000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL150938,C=C1CNCC(O)C1O,1000000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL356023,CCCCN1CC(C)C(O)C(O)C1,1000000.0,Lysosomal alpha-glucosidase,alpha_glucosidase
