molecule_chembl_id,canonical_smiles,standard_value,binding_affinity
CHEMBL4547928,Cc1ccc(C(Nc2ccc(Oc3ccc(NC(c4ccc(C)cc4)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)cc2)n2nc(-c3cc4ccccc4oc3=O)oc2=S)cc1,70,-8.718
CHEMBL4549137,O=c1oc2ccccc2cc1-c1nn(C(Nc2ccc(Oc3ccc(NC(c4ccc(Br)cc4)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)cc2)c2ccc(Br)cc2)c(=S)o1,70,-9.976
CHEMBL4535608,O=c1cc(-c2nn(C(Nc3ccc(NC(c4cccc(Cl)c4)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)c3cccc(Cl)c3)c(=S)o2)c2ccccc2o1,70,-9.103
CHEMBL4468520,O=c1oc2ccccc2cc1-c1nn(C(Nc2ccc(Oc3ccc(NC(c4ccc([N+](=O)[O-])cc4)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)cc2)c2ccc([N+](=O)[O-])cc2)c(=S)o1,70,-7.328
CHEMBL4468873,Cc1ccc(C(Nc2ccc(NC(c3ccc(C)cc3)n3nc(-c4cc(=O)oc5ccccc45)oc3=S)cc2)n2nc(-c3cc4ccccc4oc3=O)oc2=S)cc1,70,-12.279
CHEMBL4448033,O=c1cc(-c2nn(C(Nc3ccc(-c4ccc(NC(c5ccc(Cl)cc5Cl)n5nc(-c6cc7ccccc7oc6=O)oc5=S)cc4)cc3)c3ccc(Cl)cc3Cl)c(=S)o2)c2ccccc2o1,70,-3.495
CHEMBL4466971,O=c1cc(-c2nn(C(Nc3ccc(-c4ccc(NC(c5cccc(Br)c5)n5nc(-c6cc7ccccc7oc6=O)oc5=S)cc4)cc3)c3cccc(Br)c3)c(=S)o2)c2ccccc2o1,70,-7.077
CHEMBL4538427,O=c1cc(-c2nn(C(Nc3ccc(NC(c4ccc(F)cc4)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)c3ccc(F)cc3)c(=S)o2)c2ccccc2o1,70,-9.132
CHEMBL4574481,O=c1cc(-c2nn(C(Nc3ccc(-c4ccc(NC(c5ccc(Cl)cc5)n5nc(-c6cc7ccccc7oc6=O)oc5=S)cc4)cc3)c3ccc(Cl)cc3)c(=S)o2)c2ccccc2o1,70,-7.737
CHEMBL4451108,O=c1cc(-c2nn(C(Nc3ccc(-c4ccc(NC(c5ccc([N+](=O)[O-])cc5)n5nc(-c6cc7ccccc7oc6=O)oc5=S)cc4)cc3)c3ccc([N+](=O)[O-])cc3)c(=S)o2)c2ccccc2o1,70,-7.546
CHEMBL4453742,O=c1oc2ccccc2cc1-c1nn(C(Nc2ccc(Oc3ccc(NC(c4ccc(Cl)cc4Cl)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)cc2)c2ccc(Cl)cc2Cl)c(=S)o1,70,-9.391
CHEMBL2051981,CO[C@H]1O[C@H](CO)[C@@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,72,-5.241
CHEMBL5271914,O=c1c2cc(O)c(O)cc2oc2c([C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)c(O)cc(O)c12,76.98,-7.648
CHEMBL5289086,COc1ccc2oc3ccc(O)cc3c(=O)c2c1,77.3,-7.05
CHEMBL186068,CCCCCCCCN1CC(O)C(O)C(O)C1CO,80,-5.548
CHEMBL187158,CCCCCCCCCN1CC(O)C(O)C(O)C1CO,80,-5.234
CHEMBL4854113,Cc1nnc(SC(=O)c2ccc(-c3cccc(F)c3)o2)s1,82,-7.947
CHEMBL508494,COc1cc2cc(Oc3ccc4ccc(=O)oc4c3)c(=O)oc2cc1O,86,-8.852
CHEMBL3815109,CC(C)(C)CO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],90,None
CHEMBL3814988,CC(C)CO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],90,None
CHEMBL4441658,Cc1ccccc1N1C(=O)/C(=C/c2ccc(F)cc2)S/C1=N\NC(=O)c1cc2ccccc2oc1=O,90,-8.875
CHEMBL4516968,O=C(N/N=C1\S/C(=C\c2ccc(F)cc2)C(=O)N1c1ccc(Cl)cc1)c1cc2ccccc2oc1=O,90,-11.265
CHEMBL4463785,COc1ccccc1N1C(=O)/C(=C/c2ccc(F)cc2)S/C1=N\NC(=O)c1cc2ccccc2oc1=O,90,-8.695
CHEMBL4557506,Cc1cccc(C)c1N1C(=O)/C(=C/c2ccc(F)cc2)S/C1=N\NC(=O)c1cc2ccccc2oc1=O,90,-10.256
CHEMBL4457539,COc1ccc(N2C(=O)/C(=C/c3ccc(F)cc3)S/C2=N\NC(=O)c2cc3ccccc3oc2=O)cc1,90,-8.605
CHEMBL4561204,Cc1ccc(N2C(=O)/C(=C/c3ccc(F)cc3)S/C2=N\NC(=O)c2cc3ccccc3oc2=O)c(C)c1,90,-9.24
CHEMBL4469426,COc1cccc(N2C(=O)/C(=C/c3ccc(F)cc3)S/C2=N\NC(=O)c2cc3ccccc3oc2=O)c1,90,-8.893
CHEMBL4127059,Cc1ccc(N2C(=O)/C(=C/c3ccc(F)cc3)S/C2=N\NC(=O)c2cc3ccccc3oc2=O)cc1,90,-9.844
CHEMBL4589823,Cc1cccc(N2C(=O)/C(=C/c3ccc(F)cc3)S/C2=N\NC(=O)c2cc3ccccc3oc2=O)c1,90,-9.65
CHEMBL4475313,O=C(N/N=C1\S/C(=C\c2ccc(F)cc2)C(=O)N1c1ccccc1Cl)c1cc2ccccc2oc1=O,90,-9.858
CHEMBL4531736,Cc1ccc(N2C(=O)/C(=C/c3ccc(F)cc3)S/C2=N\NC(=O)c2cc3ccccc3oc2=O)cc1C,90,-8.703
CHEMBL4591646,Cc1cc(C)cc(N2C(=O)/C(=C/c3ccc(F)cc3)S/C2=N\NC(=O)c2cc3ccccc3oc2=O)c1,90,-10.366
CHEMBL4535006,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Br)cc4)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Br)cc4)cc23)cc1,100,-10.413
CHEMBL4444058,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccccc4Br)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccccc4Br)cc23)cc1,100,-7.979
CHEMBL4450153,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccccc4Cl)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccccc4Cl)cc23)cc1,100,-12.105
CHEMBL1029,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,100,-4.779
CHEMBL2051759,CO[C@H]1O[C@H](CO)[C@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,100,-5.604
CHEMBL4592050,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cccc(Cl)c4Cl)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cccc(Cl)c4Cl)cc23)cc1,100,-9.697
CHEMBL4465117,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Cl)c(Cl)c4)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Cl)c(Cl)c4)cc23)cc1,100,-8.571
CHEMBL458472,COc1cc(C(=O)OCc2ccc(O[C@@H]3O[C@H](COC(C)=O)[C@@H](O)[C@H](O)[C@H]3O)c(O)c2)ccc1O,100,-8.26
CHEMBL4476028,Cc1cs/c(=N\C(=O)c2ccco2)n1-c1cc(Cl)c(Cl)cc1Cl,100,-6.4
CHEMBL4443277,Cc1cs/c(=N\C(=O)c2cc3ccccc3oc2=O)n1-c1cc(Cl)c(Cl)cc1Cl,100,-8.388
CHEMBL4442767,Cc1cccc(C(=O)/N=c2\scc(C)n2-c2cc(Cl)c(Cl)cc2Cl)c1,100,-7.783
CHEMBL4457996,COc1ccc(C(=O)/N=c2\scc(C)n2-c2cc(Cl)c(Cl)cc2Cl)cc1,100,-7.29
CHEMBL4444856,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)ccc4Cl)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)ccc4Cl)cc23)cc1,100,-9.612
CHEMBL470042,C=C1C[C@H]2[C@@](C)(C(=O)C(O)=C3C(C)(C)C(=O)CC[C@@]32C)[C@@H]2C(=O)O[C@@](C)(C(=O)OC)C(=O)[C@@]12C,100,-6.545
CHEMBL515507,COc1cc(C(=O)OCc2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c2)ccc1O,100,-7.876
CHEMBL470039,COc1cc(-c2cc3c(c(=O)o2)C[C@]2(O)[C@@]4(C)C(=O)C=CC(C)(C)[C@]4(O)CC[C@@]2(C)O3)cc2c1OCO2,100,-7.938
CHEMBL4468394,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)cc(Cl)c4)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)cc(Cl)c4)cc23)cc1,100,-8.361
CHEMBL4459920,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(C)cc4)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(C)cc4)cc23)cc1,100,-7.953
CHEMBL4543754,Cc1cs/c(=N\C(=O)c2ccccc2Cl)n1-c1cc(Cl)c(Cl)cc1Cl,100,-6.969
CHEMBL4526576,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Cl)cc4Cl)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Cl)cc4Cl)cc23)cc1,100,-9.112
CHEMBL511953,C=C1C[C@]2(O)[C@@]3(C)CCC(=O)C(C)(C)C3=C(O)C(=O)[C@@]2(C)[C@@H]2C(=O)O[C@@](C)(C(=O)OC)C(=O)[C@@]12C,100,-7.886
CHEMBL5276586,Cl.O=[N+]([O-])c1ccccc1C1OC[C@@H](O)[C@@H]([C@H](O)C[S@+]2C[C@@H](O)[C@H](O)[C@H]2CO)O1,100,None
CHEMBL4860203,CC[C@]1(CO)NC[C@H](O)[C@@H](O)[C@@H]1O.Cl,100,None
CHEMBL3311516,COc1ccc(CCCC[C@@H]2N[C@@H](CO)[C@H](O)[C@H]2O)cc1,110,-7.494
CHEMBL476960,OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,110,-4.712
CHEMBL5272219,CC(=O)c1cc2cc(-c3cccc(Cl)c3)oc2cc1O,110,-7.18
CHEMBL4873807,CCCCCCCC[C@]1(CO)NC[C@H](O)[C@@H](O)[C@@H]1O.Cl,120,None
CHEMBL3814838,CCO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],120,None
CHEMBL3944972,O=C(Nn1c(-c2cc3ccccc3oc2=O)cs/c1=N\c1ccc(Cl)c(Cl)c1)c1ccccc1O,120,-7.703
CHEMBL1770626,CCO[C@@H](CO)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],120,None
CHEMBL4858697,CCCCCC[C@]1(CO)NC[C@H](O)[C@@H](O)[C@@H]1O.Cl,140,None
CHEMBL4456568,Cc1cs/c(=N\C(=O)c2cccc3ccccc23)n1-c1cc(Cl)c(Cl)cc1Cl,150,-8.779
CHEMBL4440783,Cc1ccccc1C(=O)/N=c1\scc(C)n1-c1cc(Cl)c(Cl)cc1Cl,150,-7.14
CHEMBL3349439,OC[C@@]1(O)C[C@H](N[C@H]2CCCC[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,160,-5.748
CHEMBL4470451,CCn1c2ccccc2c2cc(NC(=O)CSc3nc4ccccc4[nH]3)ccc21,170,-8.682
CHEMBL3311517,OC[C@@H]1N[C@@H](CCCCc2ccc(O)cc2)[C@H](O)[C@H]1O,170,-7.389
CHEMBL5186198,OC[C@]1(c2ccc(O)cc2)NC[C@H](O)[C@H]1O,180,-5.357
CHEMBL3349436,OCC1=C[C@H](NC(CO)CO)[C@H](O)[C@@H](O)[C@@H]1O,180,-5.128
CHEMBL3349440,OCC(CO)N[C@H]1C[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,180,-5.356
